image_sha256,frac,mean_pct,sd_pct,n_crops,dataset,sequence_id
01f339f19047671107e0ee114793a1fc1d7afb18e43059cda38552a79c426531,0.5,9.3625,2.195546628974206,4,c2c12,c2c12_090303_exp1_F0010_Data
01fb256298845b5504f329131bece0522ceb5822411eaa6a9ffb7ee3333e994d,0.25,12.09,3.7896437827320915,4,c2c12,c2c12_090303_exp1_F0001_Data
01fb256298845b5504f329131bece0522ceb5822411eaa6a9ffb7ee3333e994d,0.5,14.03,0.3428313482360298,4,c2c12,c2c12_090303_exp1_F0001_Data
024e65569d90ffca1c89ff78b3ed7b02b5083a74368ebb263867cc7e0b08cc8d,0.25,5.65,1.134401457450874,4,c2c12,c2c12_090318_exp1_F0001_Data
024e65569d90ffca1c89ff78b3ed7b02b5083a74368ebb263867cc7e0b08cc8d,0.5,7.355,1.1580011514099058,4,c2c12,c2c12_090318_exp1_F0001_Data
02592c9cc964cb0ce41ad4357cc63836b5abb18132470ed1a3c675294e779562,0.25,15.7275,1.577114982069052,4,c2c12,c2c12_090303_exp1_F0001_Data
02592c9cc964cb0ce41ad4357cc63836b5abb18132470ed1a3c675294e779562,0.5,9.68,0.8203657720797481,4,c2c12,c2c12_090303_exp1_F0001_Data
0284118a6fdc99ffbdacfa3e83337f0bc64691d24bb759e3f110c7216e0ee395,0.25,12.86,6.314823829688363,4,c2c12,c2c12_090318_exp1_F0018_Data
0284118a6fdc99ffbdacfa3e83337f0bc64691d24bb759e3f110c7216e0ee395,0.5,13.04,3.4282648672469866,4,c2c12,c2c12_090318_exp1_F0018_Data
0286a8b5afc8d746850320ba35e5777f8475c5524919eef86b2808f15d1da992,0.25,26.54,3.8043659130004817,4,c2c12,c2c12_090303_exp1_F0010_Data
0286a8b5afc8d746850320ba35e5777f8475c5524919eef86b2808f15d1da992,0.5,32.0275,0.7506608199890746,4,c2c12,c2c12_090303_exp1_F0010_Data
02d5e1f62e0279f1e13c997ee84099e1971b4545df3d8edb80417fe0dbb2dbb6,0.25,23.587500000000002,7.493674554805096,4,c2c12,c2c12_090325_exp1_F0016_Data
02d5e1f62e0279f1e13c997ee84099e1971b4545df3d8edb80417fe0dbb2dbb6,0.5,15.5025,3.436775378170648,4,c2c12,c2c12_090325_exp1_F0016_Data
032a9e133df07ffb31694469ae632c264967f2459512f10ebc2560b6a9b94d80,0.25,49.004999999999995,6.65136326878433,4,c2c12,c2c12_090325_exp1_F0001_Data
032a9e133df07ffb31694469ae632c264967f2459512f10ebc2560b6a9b94d80,0.5,47.7825,4.1671843011798755,4,c2c12,c2c12_090325_exp1_F0001_Data
032fcaa64c8673dd5d2f6d27c4eb3611736164fe35d61b9a461089c80dbc9983,0.25,19.3375,6.277867870543309,4,c2c12,c2c12_090318_exp1_F0005_Data
032fcaa64c8673dd5d2f6d27c4eb3611736164fe35d61b9a461089c80dbc9983,0.5,15.565000000000001,4.140470987701761,4,c2c12,c2c12_090318_exp1_F0005_Data
036f0e73c6d00d0bbce0ddc58e2c6533d7741ebc2e6639399145f4cce7f07453,0.25,23.89,11.572994426681454,4,c2c12,c2c12_090325_exp1_F0018_Data
036f0e73c6d00d0bbce0ddc58e2c6533d7741ebc2e6639399145f4cce7f07453,0.5,20.215,6.574782632655369,4,c2c12,c2c12_090325_exp1_F0018_Data
038420d7af9e1debc0ea1284492f884eabd7236268b4dc0bfb1cd053867e721e,0.25,5.1925,3.3161662101489022,4,c2c12,c2c12_090303_exp1_F0012_Data
